,id,redshift,tu,tg,tr,ti,tz,ty,u10,uerr10,g10,gerr10,r10,rerr10,i10,ierr10,z10,zerr10,y10,yerr10
g10,-0.004160933912692157,0.14348819095685855,0.7445520348643031,0.998235370756875,0.8937680138117411,0.7847194176011361,0.7056724710380803,0.680508994115355,0.6440671601336441,0.3839884017167258,1.0,0.7628949400665418,0.8935002267807224,0.7839182811137663,0.7843728183665877,0.6484358191956809,0.7049594314196416,0.5141863820363877,0.6760060197022093,0.5014576143716842
gerr10,-0.004785588088176493,0.06650994422416291,0.6893957937799446,0.7644774743109871,0.5572083385280165,0.4259074144752572,0.348670024403966,0.3276677033706703,0.5966102173626506,0.5170102692328697,0.7628949400665418,1.0,0.5570399338682567,0.7440477086718227,0.42570814026402704,0.4610074693175487,0.34829204828196436,0.30341993123507405,0.325457772675562,0.2877189221026472
r10,0.0010093614094045028,0.2715941307126903,0.5249562838753503,0.8950185082267009,0.9997016307013412,0.9563022508528615,0.8878223749844087,0.8570859221109878,0.45414883250079385,0.19342835760176585,0.8935002267807224,0.5570399338682567,1.0,0.8161936966455471,0.9558867178768445,0.8027080010800051,0.8869293750661703,0.6557983557381134,0.8514356422708597,0.62683949805228
rerr10,0.000639862587020072,0.12224054428827617,0.47691003973677887,0.785301044535861,0.8164459960619249,0.7264676841016664,0.6484401401385926,0.6168108260216272,0.41269169780149845,0.21059217299920766,0.7839182811137663,0.7440477086718227,0.8161936966455471,1.0,0.7261373459705978,0.8231404501604085,0.6477693767773682,0.6103538257246035,0.6126891332237975,0.563666452082524
i10,0.004289038195097128,0.3931002092117397,0.4702902107299837,0.7856968259721931,0.9561694265949728,0.9995647726370646,0.9709431331691505,0.9484423788427905,0.4068389090536323,0.18475115012510374,0.7843728183665877,0.42570814026402704,0.9558867178768445,0.7261373459705978,1.0,0.861052727687941,0.9699815879008236,0.7679332154583018,0.9422064910747037,0.7414289032864287
ierr10,0.00545700856102024,0.382189861334222,0.4186002056721664,0.6495431146694313,0.8029482596400558,0.861444892165566,0.8507140024652499,0.8329472576628227,0.362222673055566,0.19673280901457596,0.6484358191956809,0.4610074693175487,0.8027080010800051,0.8231404501604085,0.861052727687941,1.0,0.8498787397778074,0.90678727573722,0.8274336896452188,0.8617394191968856
z10,0.004546320078050428,0.4230202681415769,0.4592351172620906,0.7061418777197553,0.8871902281837603,0.9704070914427328,0.99901674878869,0.9936451748043504,0.3972460575518062,0.20986685060908009,0.7049594314196416,0.34829204828196436,0.8869293750661703,0.6477693767773682,0.9699815879008236,0.8498787397778074,1.0,0.8428702743499153,0.9870970522312978,0.8315712930438245
zerr10,0.0052455558489815255,0.4604655951006958,0.42638197868686584,0.5150581926757504,0.6559864838989018,0.768286545980917,0.8436873906434005,0.8536345696051906,0.3688969463766092,0.2626088265773265,0.5141863820363877,0.30341993123507405,0.6557983557381134,0.6103538257246035,0.7679332154583018,0.90678727573722,0.8428702743499153,1.0,0.8479860049730932,0.9884682917333121
y10,0.004059433377193366,0.4109277325557766,0.455276757706156,0.6771392989618399,0.8516839210075713,0.942614291088115,0.9880720864047066,0.9934099956221493,0.3937531952594454,0.221769464401436,0.6760060197022093,0.325457772675562,0.8514356422708597,0.6126891332237975,0.9422064910747037,0.8274336896452188,0.9870970522312978,0.8479860049730932,1.0,0.8494778510728269
yerr10,0.00440468465694574,0.4499962985296431,0.4460148739310324,0.5023045988531706,0.6270158986182629,0.7417706021629108,0.832377266076886,0.8551363760639819,0.38581594327443597,0.2979433337892778,0.5014576143716842,0.2877189221026472,0.62683949805228,0.563666452082524,0.7414289032864287,0.8617394191968856,0.8315712930438245,0.9884682917333121,0.8494778510728269,1.0
